Year,Month,Day,Y
2000,1,3,-0.008979672
2000,1,4,0.015115856
2000,1,5,0.008508632
2000,1,6,0.013246494
2000,1,7,0.001898434
2000,1,10,-0.000901307
2000,1,11,0.003978597
2000,1,12,0.000614323
2000,1,13,0.003301423
2000,1,14,-0.001602187
2000,1,17,-0.011669408
2000,1,18,0.006705211
2000,1,19,0.002366977
2000,1,20,-0.002746214
2000,1,21,-0.005515157
2000,1,24,0.007031242
2000,1,25,0.002080871
2000,1,26,0.000850019
2000,1,27,-0.008818567
2000,1,28,0.0064083
2000,1,31,0.012928276
2000,2,1,0.007955565
2000,2,2,0.004761584
2000,2,3,-0.002031301
2000,2,4,-0.008026954
2000,2,7,0.009919889
2000,2,8,0.009685417
2000,2,9,-0.002561407
2000,2,10,-0.006063687
2000,2,11,0.003679349
2000,2,14,-0.002021967
2000,2,15,0.000229975
2000,2,16,0.007240099
2000,2,17,0.007641263
2000,2,18,0.004024514
2000,2,21,0.004996747
2000,2,22,-0.006351516
2000,2,23,0.004148822
2000,2,24,-0.000630233
2000,2,25,-0.000765818
2000,2,28,-0.017823514
2000,2,29,0.00790518
2000,3,1,-0.021484438
2000,3,2,0.001672707
2000,3,3,-0.001161305
2000,3,6,9.30E-05
2000,3,7,-0.007463766
2000,3,8,0.001403706
2000,3,9,-0.006661687
2000,3,10,0.000940955
2000,3,13,-0.009117384
2000,3,14,-0.003756096
2000,3,15,0.004467688
2000,3,16,0.001895106
2000,3,17,0.004439414
2000,3,20,0.004513619
2000,3,21,0.002904255
2000,3,22,0.000420885
2000,3,23,0.004897284
2000,3,24,-0.003168836
2000,3,27,-0.003085268
2000,3,28,-0.007849445
2000,3,29,-0.00382952
2000,3,30,-0.002228809
2000,3,31,-0.026506591
2000,4,3,0.021270727
2000,4,4,0.008600875
2000,4,5,-0.005265792
2000,4,6,-0.002571797
2000,4,7,0.0048523
2000,4,10,0.013293931
2000,4,11,0.001777945
2000,4,12,-0.00995968
2000,4,13,4.72E-05
2000,4,14,-0.009916339
2000,4,17,-0.005834266
2000,4,18,0.001150417
2000,4,19,0.001962239
2000,4,20,0.007573448
2000,4,21,0
2000,4,24,0.00056926
2000,4,25,0.002746864
2000,4,26,0.00758561
2000,4,27,-0.00131511
2000,4,28,0.015760841
2000,5,1,0.007191291
2000,5,2,0.000275558
2000,5,3,0.001651755
2000,5,4,-0.009303678
2000,5,5,0.00507709
2000,5,8,0.002207405
2000,5,9,0.005542972
2000,5,10,4.57E-05
2000,5,11,-0.007934184
2000,5,12,0.001794135
2000,5,15,0.006459764
